"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason","representedPeople"
"zurich","zurich:CH4323>CH261:soft:inbound","CH4323","Bad Zurzach","CH261","Zürich","soft","inbound","swissInbound","30","FSO commune matrix 2020","missing","30.08111478637818","","","","false","","",""
"zurich","zurich:CH4021>CH261:car:inbound","CH4021","Baden","CH261","Zürich","car","inbound","swissInbound","395","FSO commune matrix 2020","road","21.00374774476811","22.803002654480867","1767.205","0.002961222533051104","false","","",""
"zurich","zurich:CH4021>CH261:transit:inbound","CH4021","Baden","CH261","Zürich","transit","inbound","swissInbound","1491","FSO commune matrix 2020","rail","21.00374774476811","22.691748187719963","","","false","","","1491"
"zurich","zurich:CH4021>CH261:soft:inbound","CH4021","Baden","CH261","Zürich","soft","inbound","swissInbound","524","FSO commune matrix 2020","bicycle","21.00374774476811","22.597309806142903","4689.691","0.002961222533051104","true","","","524"
"zurich","zurich:CH4301>CH261:car:inbound","CH4301","Baldingen","CH261","Zürich","car","inbound","swissInbound","2","FSO commune matrix 2020","missing","26.203152500064025","","","","false","","",""
"zurich","zurich:CH4301>CH261:transit:inbound","CH4301","Baldingen","CH261","Zürich","transit","inbound","swissInbound","6","FSO commune matrix 2020","missing","26.203152500064025","","","","false","","",""
"zurich","zurich:CH4301>CH261:soft:inbound","CH4301","Baldingen","CH261","Zürich","soft","inbound","swissInbound","2","FSO commune matrix 2020","missing","26.203152500064025","","","","false","","",""
"zurich","zurich:CH1023>CH261:car:inbound","CH1023","Ballwil","CH261","Zürich","car","inbound","swissInbound","5","FSO commune matrix 2020","missing","30.108341238181094","","","","false","","",""
"zurich","zurich:CH1023>CH261:transit:inbound","CH1023","Ballwil","CH261","Zürich","transit","inbound","swissInbound","18","FSO commune matrix 2020","rail","30.108341238181094","63.98558672283728","","","false","","","18"
"zurich","zurich:CH1023>CH261:soft:inbound","CH1023","Ballwil","CH261","Zürich","soft","inbound","swissInbound","6","FSO commune matrix 2020","missing","30.108341238181094","","","","false","","",""
"zurich","zurich:CH2422>CH261:car:inbound","CH2422","Balsthal","CH261","Zürich","car","inbound","swissInbound","3","FSO commune matrix 2020","missing","63.224492377447746","","","","false","","",""
"zurich","zurich:CH2422>CH261:transit:inbound","CH2422","Balsthal","CH261","Zürich","transit","inbound","swissInbound","9","FSO commune matrix 2020","rail","63.224492377447746","76.35056052274703","","","false","","","9"
"zurich","zurich:CH2422>CH261:soft:inbound","CH2422","Balsthal","CH261","Zürich","soft","inbound","swissInbound","3","FSO commune matrix 2020","missing","63.224492377447746","","","","false","","",""
"zurich","zurich:CH111>CH261:car:inbound","CH111","Bäretswil","CH261","Zürich","car","inbound","swissInbound","43","FSO commune matrix 2020","road","24.939823435832924","32.943667026717286","2598.752","0.010891304677063422","false","","",""
"zurich","zurich:CH111>CH261:transit:inbound","CH111","Bäretswil","CH261","Zürich","transit","inbound","swissInbound","164","FSO commune matrix 2020","missing","24.939823435832924","","","","false","","",""
"zurich","zurich:CH111>CH261:soft:inbound","CH111","Bäretswil","CH261","Zürich","soft","inbound","swissInbound","58","FSO commune matrix 2020","missing","24.939823435832924","","","","false","","",""
"zurich","zurich:CH2931>CH261:car:inbound","CH2931","Bargen (SH)","CH261","Zürich","car","inbound","swissInbound","1","FSO commune matrix 2020","missing","46.554028940318794","","","","false","","",""
"zurich","zurich:CH2931>CH261:transit:inbound","CH2931","Bargen (SH)","CH261","Zürich","transit","inbound","swissInbound","3","FSO commune matrix 2020","missing","46.554028940318794","","","","false","","",""
"zurich","zurich:CH2931>CH261:soft:inbound","CH2931","Bargen (SH)","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","46.554028940318794","","","","false","","",""
"zurich","zurich:CH4536>CH261:car:inbound","CH4536","Basadingen-Schlattingen","CH261","Zürich","car","inbound","swissInbound","6","FSO commune matrix 2020","missing","35.40585917610023","","","","false","","",""
"zurich","zurich:CH4536>CH261:transit:inbound","CH4536","Basadingen-Schlattingen","CH261","Zürich","transit","inbound","swissInbound","25","FSO commune matrix 2020","rail","35.40585917610023","61.907649311190106","","","false","","","25"
"zurich","zurich:CH4536>CH261:soft:inbound","CH4536","Basadingen-Schlattingen","CH261","Zürich","soft","inbound","swissInbound","9","FSO commune matrix 2020","missing","35.40585917610023","","","","false","","",""
"zurich","zurich:CH52>CH261:car:inbound","CH52","Bassersdorf","CH261","Zürich","car","inbound","swissInbound","236","FSO commune matrix 2020","road","9.801779528740473","14.165153407644222","1416.097","0.015548018266925529","false","","",""
"zurich","zurich:CH52>CH261:transit:inbound","CH52","Bassersdorf","CH261","Zürich","transit","inbound","swissInbound","890","FSO commune matrix 2020","rail","9.801779528740473","14.227241598362355","","","false","","","890"
"zurich","zurich:CH52>CH261:soft:inbound","CH52","Bassersdorf","CH261","Zürich","soft","inbound","swissInbound","313","FSO commune matrix 2020","bicycle","9.801779528740473","11.705254116457454","2421.885","0.015548018266925529","true","","","313"
"zurich","zurich:CH297>CH261:car:inbound","CH297","Bauma","CH261","Zürich","car","inbound","swissInbound","34","FSO commune matrix 2020","road","26.278092507490964","33.90199230173258","2722.84","0.004772080750923075","false","","",""
"zurich","zurich:CH297>CH261:transit:inbound","CH297","Bauma","CH261","Zürich","transit","inbound","swissInbound","127","FSO commune matrix 2020","rail","26.278092507490964","51.99850448821694","","","false","","","127"
"zurich","zurich:CH297>CH261:soft:inbound","CH297","Bauma","CH261","Zürich","soft","inbound","swissInbound","44","FSO commune matrix 2020","missing","26.278092507490964","","","","false","","",""
"zurich","zurich:CH1501>CH261:car:inbound","CH1501","Beckenried","CH261","Zürich","car","inbound","swissInbound","4","FSO commune matrix 2020","missing","48.34071033505337","","","","false","","",""
"zurich","zurich:CH1501>CH261:transit:inbound","CH1501","Beckenried","CH261","Zürich","transit","inbound","swissInbound","16","FSO commune matrix 2020","missing","48.34071033505337","","","","false","","",""
