"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"zurich","1265","3","0","332","3312","-70777","0","497"
"zurich","1270","3","0","149","3036","-71053","0","456"
"zurich","1275","2","0","0","2782","-71307","0","418"
"zurich","1280","2","0","0","2549","-71540","0","383"
"zurich","1285","2","0","0","2335","-71754","0","351"
"zurich","1290","1","0","0","2139","-71950","0","321"
"zurich","1295","1","0","0","1960","-72129","0","294"
"zurich","1300","1","0","0","1795","-72294","0","269"
"zurich","1305","1","0","0","1644","-72445","0","247"
"zurich","1310","1","0","0","1505","-72584","0","226"
"zurich","1315","0","0","0","1378","-72711","0","207"
"zurich","1320","0","0","0","1262","-72827","0","189"
"zurich","1325","0","0","0","1156","-72933","0","173"
"zurich","1330","0","0","0","1058","-73031","0","159"
"zurich","1335","0","0","0","969","-73120","0","145"
"zurich","1340","0","0","0","887","-73202","0","133"
"zurich","1345","0","0","0","812","-73277","0","122"
"zurich","1350","0","0","0","743","-73346","0","112"
"zurich","1355","0","0","0","680","-73409","0","102"
"zurich","1360","0","0","0","623","-73466","0","93"
"zurich","1365","0","0","0","570","-73519","0","86"
"zurich","1370","0","0","0","522","-73567","0","78"
"zurich","1375","0","0","0","478","-73611","0","72"
"zurich","1380","0","0","0","437","-73652","0","66"
"zurich","1385","0","0","0","400","-73689","0","60"
"zurich","1390","0","0","0","366","-73723","0","55"
"zurich","1395","0","0","0","335","-73754","0","50"
"zurich","1400","0","0","0","307","-73782","0","46"
"zurich","1405","0","0","0","281","-73808","0","42"
"zurich","1410","0","0","0","257","-73832","0","39"
"zurich","1415","0","0","0","235","-73854","0","35"
"zurich","1420","0","0","0","215","-73874","0","32"
"zurich","1425","0","0","0","197","-73892","0","30"
"zurich","1430","0","0","0","180","-73909","0","27"
"zurich","1435","0","0","0","165","-73924","0","25"
"zurich","1440","0","0","0","151","-73938","0","23"
"geneva","0","0","0","0","4","-55874","0","3"
"geneva","5","0","0","0","4","-55874","0","3"
"geneva","10","0","0","0","5","-55873","0","4"
"geneva","15","0","0","0","6","-55872","0","4"
"geneva","20","0","0","0","6","-55872","0","5"
"geneva","25","0","0","0","7","-55871","0","5"
"geneva","30","0","0","0","8","-55870","0","6"
"geneva","35","0","0","0","9","-55869","0","7"
"geneva","40","0","0","0","10","-55868","0","7"
"geneva","45","0","0","0","11","-55867","0","8"
"geneva","50","0","0","0","13","-55865","0","9"
"geneva","55","0","0","0","14","-55864","0","11"
"geneva","60","0","0","0","16","-55862","0","12"
"geneva","65","0","0","0","18","-55860","0","13"
"geneva","70","0","0","0","20","-55858","0","15"
"geneva","75","0","0","0","22","-55856","0","17"
"geneva","80","0","0","0","25","-55853","0","19"
"geneva","85","0","0","0","28","-55850","0","22"
"geneva","90","0","0","0","32","-55846","0","24"
"geneva","95","0","0","0","36","-55842","0","27"
"geneva","100","0","0","0","40","-55838","0","31"
"geneva","105","0","0","0","45","-55833","0","35"
"geneva","110","0","0","0","51","-55827","0","39"
"geneva","115","0","0","0","57","-55821","0","44"
"geneva","120","0","0","0","64","-55814","0","49"
"geneva","125","0","0","0","71","-55807","0","55"
"geneva","130","0","0","0","80","-55798","0","62"
"geneva","135","0","0","0","90","-55788","0","70"
"geneva","140","0","0","0","101","-55777","0","79"
"geneva","145","0","0","0","113","-55765","0","89"
"geneva","150","0","0","0","127","-55751","0","100"
"geneva","155","0","0","0","142","-55736","0","112"
"geneva","160","0","0","0","159","-55719","0","126"
"geneva","165","0","0","0","179","-55699","0","142"
"geneva","170","0","0","0","200","-55678","0","160"
"geneva","175","0","0","0","224","-55654","0","180"
"geneva","180","0","0","0","251","-55627","0","202"
"geneva","185","0","0","0","281","-55597","0","227"
"geneva","190","0","0","0","314","-55564","0","255"
"geneva","195","0","0","0","352","-55526","0","287"
"geneva","200","0","0","0","394","-55484","0","323"
"geneva","205","0","0","0","441","-55437","0","363"
"geneva","210","0","0","0","493","-55385","0","407"
"geneva","215","0","0","0","551","-55327","0","458"
"geneva","220","0","0","0","616","-55262","0","514"
"geneva","225","0","0","0","689","-55189","0","578"
"geneva","230","0","0","0","770","-55108","0","649"
"geneva","235","0","0","0","861","-55017","0","729"
"geneva","240","0","0","0","962","-54916","0","819"
"geneva","245","0","0","0","1076","-54802","0","920"
"geneva","250","0","0","0","1203","-54675","0","1033"
"geneva","255","0","0","0","1345","-54533","0","1160"
"geneva","260","0","0","0","1504","-54374","0","1303"
"geneva","265","0","0","0","1683","-54195","0","1463"
"geneva","270","0","0","0","1884","-53994","0","1643"
"geneva","275","0","0","0","2111","-53767","0","1844"
"geneva","280","0","0","0","2366","-53512","0","2071"
"geneva","285","0","0","0","2655","-53223","0","2325"
"geneva","290","0","731","0","2981","-52897","0","2610"
"geneva","295","0","928","0","3352","-52526","0","2930"
"geneva","300","0","1153","0","3772","-52106","0","3289"
"geneva","305","54","1351","0","4251","-51627","-1","3692"
"geneva","310","216","1351","0","4797","-51081","-4","4144"
"geneva","315","486","1643","169","5418","-50460","-10","4650"
"geneva","320","864","1840","348","6127","-49751","-17","5217"
"geneva","325","1343","1861","348","6934","-48944","-21","5851"
"geneva","330","1903","1861","348","7852","-48026","-1","6558"
"geneva","335","2528","1871","417","8894","-46984","58","7347"
"geneva","340","3201","2015","447","10075","-45803","172","8225"
"geneva","345","3907","2212","261","11407","-44471","357","9199"
"geneva","350","4629","2023","261","12904","-42974","629","10277"
"geneva","355","5359","2074","291","14578","-41300","998","11465"
"geneva","360","6093","2254","356","16442","-39436","1465","12770"
"geneva","365","6832","2889","356","18505","-37373","2033","14199"
"geneva","370","7572","2705","246","20774","-35104","2702","15756"
"geneva","375","8314","2674","359","23256","-32622","3473","17445"
"geneva","380","9056","2773","524","25951","-29927","4348","19267"
"geneva","385","9797","2387","459","28859","-27019","5327","21224"
"geneva","390","10539","1829","570","31974","-23904","6409","23312"
"geneva","395","11281","2209","697","35288","-20590","7594","25529"
"geneva","400","12023","2243","792","38789","-17089","8884","27867"
"geneva","405","12765","2261","993","42459","-13419","10277","30317"
"geneva","410","13507","2294","1336","46278","-9600","11774","32869"
"geneva","415","14249","1882","1636","50224","-5654","13374","35509"
"geneva","420","14990","2028","1824","54270","-1608","15078","38220"
"geneva","425","15732","1651","1826","58387","2509","16886","40986"
"geneva","430","16474","1764","1657","62545","6667","18798","43788"
"geneva","435","17216","1970","1596","66714","10836","20813","46605"
"geneva","440","17958","1965","1796","70863","14985","22931","49418"
"geneva","445","18700","2129","1923","74963","19085","25154","52207"
"geneva","450","19442","1974","2165","78986","23108","27480","54952"
"geneva","455","20076","2141","1683","82905","27027","29912","57635"
"geneva","460","20493","1997","1791","86698","30820","32452","60242"
"geneva","465","20695","2397","1653","90346","34468","35100","62756"
"geneva","470","20681","2732","1520","93833","37955","37856","65166"
"geneva","475","20465","3035","1520","97145","41267","40707","67463"
"geneva","480","20087","2880","1041","100274","44396","43616","69638"
"geneva","485","19579","3091","1009","103215","47337","46550","71689"
"geneva","490","18975","3293","1416","105964","50086","49477","73610"
"geneva","495","18305","2964","1205","108523","52645","52365","75403"
"geneva","500","17602","2377","1331","110895","55017","55184","77068"
"geneva","505","16884","2363","1459","113083","57205","57913","78608"
"geneva","510","16157","2500","1340","115095","59217","60548","80026"
"geneva","515","15422","2090","1051","116939","61061","63086","81328"
"geneva","520","14683","1772","1033","118622","62744","65526","82519"
"geneva","525","13942","1688","864","120156","64278","67865","83606"
"geneva","530","13200","1477","825","121548","65670","70099","84594"
"geneva","535","12458","2264","521","122810","66932","72231","85491"
"geneva","540","11717","2456","669","123951","68073","74258","86303"
"geneva","545","10975","2232","669","124981","69103","76182","87036"
"geneva","550","10233","2585","776","125908","70030","78003","87697"
"geneva","555","9491","2239","628","126742","70864","79720","88292"
"geneva","560","8749","2139","790","127490","71612","81333","88828"
"geneva","565","8007","2306","662","128161","72283","82842","89308"
"geneva","570","7265","2593","511","128763","72885","84248","89738"
"geneva","575","6524","2593","511","129300","73422","85550","90124"
"geneva","580","5782","2593","528","129781","73903","86748","90468"
"geneva","585","5040","2580","366","130210","74332","87843","90776"
"geneva","590","4298","2369","203","130593","74715","88834","91051"
"geneva","595","3556","2170","203","130934","75056","89722","91297"
"geneva","600","2814","2170","203","131238","75360","90505","91516"
"geneva","605","2126","1579","24","131509","75631","91184","91710"
"geneva","610","1547","1339","24","131750","75872","91758","91884"
"geneva","615","1075","1142","24","131964","76086","92225","92038"
"geneva","620","711","1107","24","132154","76276","92587","92175"
"geneva","625","448","983","24","132322","76444","92849","92296"
"geneva","630","266","983","24","132472","76594","93030","92404"
"geneva","635","149","654","24","132604","76726","93147","92500"
